,Domain,Wikipedia Link,Title,Context,Type,Question,Answer
1260,List of writers who either speak or write in hindi,https://hi.wikipedia.org/wiki/%E0%A4%85%E0%A4%B0%E0%A5%81%E0%A4%A3_%E0%A4%B6%E0%A5%8C%E0%A4%B0%E0%A5%80,अरुण शौरी,"अरुण शौरी  (जन्म : २ नवम्बर १९४१) भारत के प्रसिद्ध पत्रकार, लेखक, बुद्धिजीवी एवं राजनेता हैं। वे विश्व बैंक में अर्थशास्त्री थे (1968-72 और 1975-77) ; भारत के योजना आयोग में सलाहकार थे; इण्डियन एक्सप्रेस एवं टाइम्स ऑफ इण्डिया नामक अंग्रेजी पत्रों के सम्पादक थे; तथा सन् १९९८-२००४ तक भारत सरकार में मंत्री थे।
अरुण शौरी का जन्म पंजाब के जालंधर में सन 1941 ईस्वी वमें हुआ। इन्होंने दिल्ली के सेंट स्टीफेंस कॉलेज में शिक्षा पाई. ऊंची शिक्षा के लिए वे अमेरिका गए। जहां सिराक्यूज विश्वविद्यालय से अर्थशास्त्र में डॉक्ट्रेट की डिग्री ली।
राजग सरकार में उन्होंने विनिवेश, संचार एवं सूचना प्रौद्योगिकी मंत्रालयों सहित कई अन्य विभागों में कार्यभार संभाला. अरुण शौरी इंडियन एक्सप्रेस के संपादक रह चुके हैं।
उनको भारत सरकार द्वारा सन १९९० में साहित्य एवं शिक्षा के क्षेत्र में पद्मभूषण से सम्मानित किया गया था। बिजनेस वीक ने वर्ष 2002 में उन्हें स्टार ऑफ इंडिया से सम्मानित किया तथा दि इकॉनोमिक टाइम्स ने उन्हें द बिजनेस लीडर ऑफ द ईयर चुना गया। रेमन मैग्सेसे, दादाभाई नौरोजी पुरस्कार, फ्रीडम टू पब्लिक अवार्ड, एस्टर पुरस्कार, इंटरनेशनल एडिटर ऑफ द ईयर अवार्ड से भी उन्हें सम्मानित किया जा चुका है।",,,
1261,List of writers who either speak or write in hindi,https://hi.wikipedia.org/wiki/%E0%A4%86%E0%A4%9A%E0%A4%BE%E0%A4%B0%E0%A5%8D%E0%A4%AF_%E0%A4%AE%E0%A4%B9%E0%A4%BE%E0%A4%AA%E0%A5%8D%E0%A4%B0%E0%A4%9C%E0%A5%8D%E0%A4%9E,आचार्य महाप्रज्ञ,"आचार्य श्री महाप्रज्ञ (14 जून 1920 – 9 मई 2010) जैन धर्म के श्वेतांबर तेरापंथ के दसवें संत थे।[1] महाप्रज्ञ एक संत, योगी, आध्यात्मिक, दार्शनिक, अधिनायक, लेखक, वक्ता और कवि थे।[2]उनकी बहुत पुस्तकें और लेख उनके पूर्व नाम मुनि नथमल के नाम से प्रकाशित हुई।
उन्होंने दस वर्ष की आयु में जैन संन्यासी के रूप में विकास और धार्मिक प्रतिबिंब का जीवन आरम्भ किया।[3] महाप्रज्ञ ने अनुव्रत आंदोलन में मुख्य भूमिका निभाई जो गुरु आचार्य तुलसी ने 1949 में आरम्भ किया था और 1995 के आंदोलन में स्वीकृत अधिनायक बन गए।[4] आचार्य महाप्रज्ञ ने 1970 के दशक में अच्छी तरह से नियमबद्ध प्रेक्षा ध्यान तैयार किया[5] और शिक्षा प्रणाली में ""जीवन विज्ञान"" का विकास किया जो छात्रों के संतुलित विकास और उसका चरित्र निर्माण के लिए प्रयोगिक पहुँच है।[6]
आचार्य महाप्रज्ञ का जन्म हिन्दू तिथि के अनुसार विक्रम संवत 1977,  आषाढ़ कृष्ण त्रयोदशी को राजस्थान के टमकोर नामक गाँव में हुआ था। उनके पिता का नाम तोलाराम तथा माता का नाम बालू था।  आचार्य महाप्रज्ञ का बचपन का नाम नथमल था। उनके बचपन में पिता का देहांत हो गया था।  माँ बालू ने उनका पालन-पोषण किया। उनकी माँ धार्मिक प्रवृत्ति की महिला थी। इस कारण उन्हें बचपन से ही धार्मिक संस्कार मिले थे।
विक्रम संवत 1987, माघ शुक्ल की दशमी (29 जनवरी 1931) को उन्होंने दस वर्ष की आयु में अपनी माता के साथ तेरापंथ के आचार्य कालूगणी से  दीक्षा ग्रहण की।
आचार्य कालूगणी की आज्ञा से मुनि तुलसी जो आगे चल कर आचार्य कालूगणी के बाद तेरापंथ के नौवें आचार्य बने, के मार्गदर्शन में दर्शन, न्याय, व्याकरण, मनोविज्ञान, ज्योतिष, आयुर्वेद आदि का  तथा  जैन आगम, बौद्ध ग्रंथों, वैदिक ग्रंथों तथा प्राचीन शास्त्रों का गहन अध्ययन किया था।  वे संस्कृत भाषा के आशु कवि थे।
आचार्यश्री तुलसी ने महाप्रज्ञ (तब मुनि नथमल) को पहले अग्रगण्य एवं विक्रम संवत 2022 माद्य शुक्ला सप्तमी (ईस्वी सन् 1965) को हिंसार में निकाय सचिव नियुक्त किया। आगे चल कर उनकी प्रज्ञा से प्रभावित होकर आचार्य तुलसी ने उन्हें महाप्रज्ञ की उपाधि से अंलकृत किया। तब से उन्हें महाप्रज्ञ के नाम से जाना जाने लगा।
विक्रम संवत 2035 राजलदेसर (राजस्थान) मर्यादा महोत्सव के अवसर पर आचार्यश्री तुलसी ने विक्रम संवत 2035 को राजस्थान के राजलदेसर में  उन्हें अपना उत्तराधिकारी घोषित किया। और महाप्रज्ञ युवाचार्य महाप्रज्ञ हो गए।
विक्रम संवत 2050 में राजस्थान के सुजानगढ़ में आचार्य तुलसी ने अपने आचार्य पद का विर्सजन कर दिया और युवाचार्य महाप्रज्ञ को आचार्य नियुक्त किया। और वे तेरापंथ के दसवें आचार्य बने।",,,
1262,List of writers who either speak or write in hindi,https://hi.wikipedia.org/wiki/%E0%A4%B8%E0%A5%87%E0%A4%A0_%E0%A4%97%E0%A5%8B%E0%A4%B5%E0%A4%BF%E0%A4%82%E0%A4%A6_%E0%A4%A6%E0%A4%BE%E0%A4%B8,सेठ गोविंद दास,"सेठ गोविन्ददास  (1896 – 1974) भारत के स्वतंत्रता संग्राम सेनानी, सांसद तथा हिन्दी के साहित्यकार थे। उन्हें साहित्य एवं शिक्षा के क्षेत्र में सन १९६१ में पद्म भूषण से सम्मानित किया गया था। भारत की राजभाषा के रूप में हिन्दी के वे प्रबल समर्थक थे। सेठ गोविन्ददास हिन्दी के अनन्य साधक, भारतीय संस्कृति में अटल विश्वास रखने वाले, कला-मर्मज्ञ एवं विपुल मात्रा में साहित्य-रचना करने वाले, हिन्दी के उत्कृष्ट नाट्यकार ही नहीं थे, अपितु सार्वजनिक जीवन में अत्यंत् स्वच्छ, नीति-व्यवहार में सुलझे हुए, सेवाभावी राजनीतिज्ञ भी थे।
सन् १९४७ से १९७४ तक वे जबलपुर से सांसद रहे। वे महात्मा गांधी के निकट सहयोगी थे। उनको दमोह में आठ माह का कारावास झेलना पड़ा था जहाँ उन्होने चार नाटक लिखे- ""प्रकाश"" (सामाजिक), ""कर्तव्य"" (पौराणिक), ""नवरस"" (दार्शनिक) तथा ""स्पर्धा"" (एकांकी)।
सेठ गोविन्द दास का जन्म संवत 1953 (सन्‌ 1896) को विजयादशमी के दिन जबलपुर के प्रसिद्ध माहेश्वरी व्यापारिक परिवार में राजा गोकुलदास के यहाँ हुआ था। राज परिवार में पले-बढ़े सेठजी की शिक्षा-दीक्षा भी उच्च कोटि की हुई। अंग्रेजी भाषा, साहित्य और संस्कृति ही नहीं, स्केटिंग, नृत्य, घुड़सवारी का जादू भी इन पर चढ़ा।
तभी गांधीजी के असहयोग आंदोलन का तरुण गोविन्ददास पर गहरा प्रभाव पड़ा और वैभवशाली जीवन का परित्याग कर वे दीन-दुखियों के साथ सेवकों के दल में शामिल हो गए तथा दर-दर की ख़ाक छानी, जेल गए, जुर्माना भुगता और सरकार से बगावत के कारण पैतृक संपत्ति का उत्तराधिकार भी गंवाया।
सेठजी पर देवकीनंदन खत्री के तिलस्मी उपन्यासों 'चन्द्रकांता संतति' की तर्ज पर उन्होंने 'चंपावती', 'कृष्ण लता' और 'सोमलता' नामक उपन्यास लिखे, वह भी मात्र सोलह वर्ष की किशोरावस्था में।
साहित्य में दूसरा प्रभाव सेठजी पर शेक्सपीयर का पड़ा। शेक्सपीयर के 'रोमियो-जूलियट', 'एज़ यू लाइक इट', 'पेटेव्कीज प्रिंस ऑफ टायर' और 'विंटर्स टेल' नामक प्रसिद्ध नाटकों के आधार पर सेठजी ने 'सुरेन्द्र-सुंदरी', 'कृष्ण कामिनी', 'होनहार' और 'व्यर्थ संदेह' नामक उपन्यासों की रचना की। इस तरह सेठजी की साहित्य-रचना का प्रारम्भ उपन्यास से हुआ। इसी समय उनकी रुचि कविता में बढ़ी। अपने उपन्यासों में तो जगह-जगह उन्होंने काव्य का प्रयोग किया ही, 'वाणासुर-पराभव' नामक काव्य की भी रचना की।
सन्‌ 1917 में सेठजी का पहला नाटक 'विश्व प्रेम' छपा। उसका मंचन भी हुआ। प्रसिद्ध विदेशी नाटककार इब्सन से प्रेरणा लेकर आपने अपने लेखन में आमूल-चूल परिवर्तन कर डाला। उन्होंने नई तकनीक का प्रयोग करते हुए प्रतीक शैली में नाटक लिखे। 'विकास' उनका स्वप्न नाटक है। 'नवरस' उनका नाट्य-रुपक है। हिन्दी में मोनो ड्रामा पहले-पहल सेठजी ने ही लिखे।
हिन्दी भाषा की हित-चिन्ता में तन-मन-धन से संलग्न सेठ गोविंददास हिन्दी साहित्य सम्मेलन के अत्यन्त सफल सभापति सिद्ध हुए। हिन्दी के प्रश्न पर सेठजी ने कांग्रेस की नीति से हटकर संसद में दृढ़ता से हिन्दी का पक्ष लिया। वह हिन्दी के प्रबल पक्षधर और भारतीय संस्कृति के संवाहक थे।",,,
1263,List of writers who either speak or write in hindi,https://hi.wikipedia.org/wiki/%E0%A4%95%E0%A4%BF%E0%A4%B0%E0%A4%A3_%E0%A4%AC%E0%A5%87%E0%A4%A6%E0%A5%80,किरण बेदी,"डॉ॰ किरण बेदी (जन्म : ९ जून १९४९) भारतीय पुलिस सेवा की सेवानिवृत्त अधिकारी, सामाजिक कार्यकर्ता, भूतपूर्व टेनिस खिलाड़ी एवं राजनेता हैं। वर्तमान में वह पुदुचेरी की उपराज्यपाल हैं। सन १९७२ में भारतीय पुलिस सेवा में सम्मिलित होने वाली वे प्रथम  महिला अधिकारी हैं। ३५ वर्ष तक सेवा में रहने के बाद सन 2007 में उन्होने स्वैच्छिक सेवानिवृति ले ली।
उन्होंने विभिन्न पदों पर कार्य किया है। वे संयुक्त आयुक्त पुलिस प्रशिक्षण तथा दिल्ली पुलिस स्पेशल आयुक्त (खुफिया) के पद पर कार्य कर चुकी हैं।
विस्तार से °°°
एक किशोरी के रूप में, बेदी 1966 में राष्ट्रीय जूनियर टेनिस चैंपियन बनीं। 1965 और 1978 के बीच, उन्होंने राष्ट्रीय और राज्य स्तरीय चैंपियनशिप में कई खिताब जीते। IPS में शामिल होने के बाद, बेदी ने दिल्ली, गोवा, चंडीगढ़ और मिजोरम में सेवा की। उन्होंने दिल्ली के चाणक्यपुरी इलाके में एक सहायक पुलिस अधीक्षक (एएसपी) के रूप में अपना करियर शुरू किया, और 1979 में राष्ट्रपति का पुलिस पदक जीता। इसके बाद, वह पश्चिम दिल्ली चली गईं, जहां उन्होंने महिलाओं के खिलाफ अपराधों में कमी लाई। इसके बाद, एक ट्रैफिक पुलिस अधिकारी के रूप में, वह दिल्ली में 1982 के एशियाई खेलों के लिए यातायात व्यवस्था की देखरेख करती हैं और 1983 की CHOGM गोवा में मिलती हैं। उत्तरी दिल्ली के डीसीपी के रूप में, उन्होंने नशीली दवाओं के दुरुपयोग के खिलाफ एक अभियान चलाया, जो नवज्योति दिल्ली पुलिस फाउंडेशन (2007 में    नवज्योति इंडिया फाउंडेशन का नाम बदलकर) में विकसित हुआ।
मई 1993 में, वह दिल्ली जेल में महानिरीक्षक (IG) के रूप में तैनात हुईं। उन्होंने तिहाड़ जेल में कई सुधारों की शुरुआत की, जिसे दुनिया भर में प्रशंसा मिली और 1994 में उन्हें रेमन मैग्सेसे पुरस्कार मिला। 2003 में, बेदी पहली भारतीय महिला बनीं जिन्हें संयुक्त राष्ट्र में महासचिव के पुलिस सलाहकार के रूप में नियुक्त किया गया। शांति संचालन के संचालन। सामाजिक सक्रियता और लेखन पर ध्यान केंद्रित करने के लिए उसने 2007 में इस्तीफा दे दिया। उसने कई किताबें लिखी हैं, और इंडिया विजन फाउंडेशन चलाती है। 2008-11 के दौरान, उन्होंने एक कोर्ट शो आप की कचहरी भी होस्ट की। वह 2011 के भारतीय भ्रष्टाचार विरोधी आंदोलन के प्रमुख नेताओं में से एक थीं, और जनवरी 2015 में भारतीय जनता पार्टी में शामिल हो गईं। उन्होंने 2015 के दिल्ली विधानसभा चुनाव में पार्टी के मुख्यमंत्री पद के उम्मीदवार के रूप में असफल रूप से चुनाव लड़ा। 22 मई 2016 को , बेदी को पुडुचेरी के   उपराज्यपाल के रूप में नियुक्त किया गया था।
१९७०-७२ में किरण बेदी ने अपने अकादमिक करियर की शुरुआत खालसा महिला कॉलेज, अमृतसर में राजनीति विज्ञान के व्याख्याता के तौर पर की। जुलाई, १९७२ में वह भारतीय पुलिस सेवा में शामिल हो गईं और ऐसा करने वाली पहली भारतीय महिला बनीं।
उनके मानवीय एवं निडर दृष्टिकोण ने पुलिस कार्यप्रणाली एवं जेल सुधारों के लिए अनेक आधुनिक आयाम जुटाने में महत्वपूर्ण योगदान किया है। निःस्वार्थ कर्त्तव्यपरायणता के लिए उन्हें शौर्य पुरस्कार मिलने के अलावा अनेक कार्यों को सारी दुनिया में मान्यता मिली है जिसके परिणामस्वरूप एशिया का नोबल पुरस्कार कहा जाने वाला रमन मैगसेसे पुरस्कार से भी उन्हें नवाजा गया। उनको मिलने वाले अंतर्राष्ट्रीय पुरस्कारों की श्रृंखला में शामिल हैं - जर्मन फाउंडे्शन का जोसफ ब्यूज पुरस्कार, नार्वे के संगठन इंटरशनेशनल ऑर्गेनाजेशन ऑफ गुड टेम्पलर्स का ड्रग|
जुलाई 1994, किरण बेदी, तिहाड़ जेल के कारागार महानिरीक्षक फिर भारत के उच्चतम न्यायालय द्वारा उसके खिलाफ अवमानना ​​की कार्यवाही की शुरुआत से एक विचाराधीन कैदी विदेशी चिकित्सा ध्यान प्रदान करने के लिए सुप्रीम कोर्ट के निर्देशों की अनदेखी करने के लिए निकाला गया था। 1988 में वाधवा आयोग बेदी के कार्यालय के बाहर एक सहयोगी के गिरफ्तारी के खिलाफ विरोध वकीलों पर उसे लाठी - प्रभार में भूमिका के लिए बेदी की आलोचना की। करन थापर, कई लोकप्रिय साक्षात्कार के मेजबान से पता चलता है बेदी आसपास के विवादों पर एक लेख प्रकाशित के बाद वह एक के बाहर खींच लिया थापर के साक्षात्कार शो।
बेदी लोकपाल विधेयक पर सरकार के साथ वार्ता में एक कट्टरपंथी होने के लिए आलोचना की थी। बाद में संसद के सदस्यों के लिए लोकपाल विधेयक के विरोध प्रदर्शन के दौरान कथित तौर पर सांसदों को मजाक के लिए किरण बेदी और कुछ अन्य कार्यकर्ताओं के खिलाफ विशेषाधिकार प्रस्ताव का उल्लंघन लाने का प्रस्ताव है, हालांकि नोटिस बाद में वापस ले लिया।
किरण बेदी के आरोप लगाया गया था उसे भुगतान रियायती किराया के बावजूद उसे हवाई टिकट के लिए पूरा किराया मेजबान का आरोप लगाया है। वह भी उसे मेजबान व्यापार वर्ग किराया का आरोप लगाया है, जबकि अर्थव्यवस्था वर्ग उड़ान और झूठे चालान पेश आरोप लगाया गया था। बेदी का दावा व्यापार वर्ग दिल्ली से मुंबई किराया के एक गैर सरकारी संगठन ने आरोप लगाया था, जबकि उसे यात्रा intineray उन्हें संप्रेषित से पता चला है कि वह पास के पुणे से उड़ रहा था। किरण बेदी ने कहा है कि व्यक्तिगत लाभ के लिए पैसे अर्जित नहीं किया गया था, लेकिन उसे गैर - सरकारी संगठन को दिया गया।
1992 में किरण बेदी की बेटी दिल्ली हार्डिंग कॉलेज में एमबीबीएस पाठ्यक्रम के लिए छात्र उत्तर - पूर्व से के लिए एक कोटा के तहत प्रवेश दिया गया था। किरण बेदी को मिजोरम में उस समय तैनात किया गया था। वह उसकी बेटी कह रही है कि केन्द्र सरकार के कर्मचारियों को ऐसी योजनाओं के हकदार हैं एक आरक्षित सीट में भर्ती कराया कदम का बचाव किया था।
26 नवम्बर 2011, दिल्ली स्थित एक वकील देविंदर सिंह चौहान द्वारा दायर शिकायत के आधार पर, अतिरिक्त मुख्य मेट्रोपोलिटन मजिस्ट्रेट अमित बंसल ने दिल्ली पुलिस की अपराध शाखा को निर्देश दिया है कि 24 घंटे के भीतर किरण बेदी के खिलाफ एक मामला दर्ज करने के लिए, कथित तौर पर धन के बेजा इस्तेमाल के लिए उसे गैर सरकारी संगठनों के लिए नतीजतन, दिल्ली पुलिस बेदी के खिलाफ धारा 420 (धोखाधड़ी), 406 (अमानत में खयानत), 120 बी (आपराधिक षड्यंत्र) आईपीसी के तहत एक मामला दर्ज किया है।
किरण बेदी 17 अन्य पुलिस अधिकारियों को 1987 में नवज्योति इंडिया फाउंडेशन (एनआईएफ) की स्थापना के साथ, एनआईएफ ड्रग नशा के लिए एक नशा मुक्ति और पुनर्वास की पहल के साथ शुरू कर दिया है और अब संगठन निरक्षरता और महिलाओं की तरह अन्य सामाजिक मुद्दे के लिए विस्तार किया गया है सशक्तिकरण 1994 बेदी सेटअप इंडिया विजन फाउंडेशन जो पुलिस सुधारों, जेल सुधारों के क्षेत्र में काम करता है, महिलाओं के सशक्तिकरण और ग्रामीण और सामुदायिक विकास उनके प्रयासों में राष्ट्रीय और अंतरराष्ट्रीय स्तर पर पहचान जीत लिया है और उसके संगठनों से सम्मानित किया गया ""नशीली दवाओं के दुरुपयोग की रोकथाम के लिए सर्ज Soitiroff संयुक्त राष्ट्र द्वारा मेमोरियल पुरस्कार ""।
किरण बेदी 2011 में अन्ना हजारे के आंदोलन से जुड़ी, अरविंद केजरीवाल के अलावा किरण बेदी भी इंडिया अगेन्स्ट करप्शन (I.A.C) के प्रमुख सदस्यों में से एक रही हैं। (I.A.C) ने देश में व्याप्त भ्रष्टाचार के खिलाफ विरोध किया और भ्रष्टाचार को जड़ से खत्म करने के लिए भारत सरकार से एक मजबूत लोकपाल विधेयक लाने का आग्रह किया। सरकार और कार्यकर्ताओं के बीच कई विचार विमर्श के बारह दिनों के बाद, संसद में लोकपाल का मसौदा तैयार करने में तीन बिंदुओं पर विचार करने के लिए एक प्रस्ताव पारित किया।
किरण बेदी के जीवन पर एक गैर कथा फीचर फिल्म, हाँ मैडम, सर, ऑस्ट्रेलियाई फिल्म निर्माता, Megan Doneman द्वारा उत्पादन किया गया है। इस फिल्म को दुनिया भर के फिल्म समारोहों में दिखाई है। इसका टीकाकार एक अकादमी पुरस्कार विजेता, हेलेन मिरेन है। किरण बेदी टोरंटो, दुबई और एडिलेड में अपने प्रदर्शन के दौरान मौजूद थे और प्रत्येक शो के अंत में क्यू और एक सत्र को संबोधित करने के लिए। वृत्तचित्र पुरस्कार श्रेणियों की एक क्लीन स्वीप --- 100,000 डॉलर का एक नकद पुरस्कार के साथ ""सर्वश्रेष्ठ वृत्तचित्र"" अमेरिका में किसी भी फिल्म महोत्सव और सांता बारबरा अंतर्राष्ट्रीय फ़िल्म में 2500 डॉलर के साथ सामाजिक न्याय पुरस्कार में एक वृत्तचित्र के लिए सबसे बड़ा पुरस्कार दिया गया है महोत्सव. हां मैडम, सर जूरी से एक सर्वसम्मत वोट मिला है।2006 में, नार्वेजियन mPower फिल्म और मीडिया और फिल्म निर्माता Rakkenes Øystein गांधी के नक्शेकदम में बेदी और उसे तिहाड़ केंद्रीय कारागार में जेल क्रांति पर एक और वृत्तचित्र, जारी किया। फिल्म अटलांटा में भारत - अमेरिकी फिल्म समारोह में सर्वश्रेष्ठ वृत्तचित्र नवंबर 2006 में सम्मानित किया गया।किरण बेदी ने भी 2009-10 में टीवी शो आप की Kachehri स्टार प्लस पर किरण के साथ मेजबान बन गया।
व्यावसायिक योगदान के अलावा उनके द्वारा दो स्वयं सेवी संस्थाओं की स्थापना तथा पर्यवेक्षण किया जा रहा है। ये संस्स्थाएं हैं- 1988 में स्थापित नव ज्योति एवं 1994 में स्थापित इंडिया विजन फाउंडेशन। ये संस्थाएं रोजना हजारों गरीब बेसहारा बच्चों तक पहुँचकर उन्हें प्राथमिक शिक्षा तथा स्त्रियों को प्रौढ़ शिक्षा उपलब्ध कराती है। ‘नव ज्योति संस्था’ नशामुक्ति के लिए इलाज करने के साथ-साथ झुग्गी बस्तियों, ग्रामीण क्षेत्रों में तथा जेल के अंदर महिलाओं को व्यावसायिक प्रशिक्षण और परामर्श भी उपलब्ध कराती है। डॉ॰ बेदी तथा उनकी संस्थाओं को आज अंतर्राष्ट्रीय पहचान तथा स्वीकार्यता प्राप्त है। नशे की रोकथाम के लिए संयुक्त राष्ट्र द्वारा किया गया ‘सर्ज साटिरोफ मेमोरियल अवार्ड’ इसका ताजा प्रमाण है।
वे एशियाई टेनिस चैंपियन रही हैं। उन्होंने कानून की डिग्री के साथ-साथ ‘ड्रग एब्यूज एण्ड डोमोस्टिक वायलेंस’ विषय पर डॉक्टरेट की उपाधि भी प्राप्त की है। उन्होंने ‘इट्स ऑलवेज पॉसिबल’ तथा दो आत्मकथा ‘आय डेयर’ एवं ‘काइंडली बेटन’ नामक पुस्तक लिखी है। इसके अलावा यथार्थ जीवन पर आधारित वृतांतों का संकलन ‘व्हाट वेंट रोंग’ नाम से किया है। इसके हिन्दी रुपांतर ‘गलती किसकी’ नाम से संकलित है। ये दोनों संकलन, दैनिक राष्ट्रीय समाचार पत्र ‘द टाइम्स ऑफ इंडिया’ एवं ‘नवभारत टाइम्स’ में डॉ॰ बेदी के व्यक्तिगत अनुभवों पर आधारित पाक्षिक स्तभों से संबंधित हैं।",,,
1264,List of writers who either speak or write in hindi,https://hi.wikipedia.org/wiki/%E0%A4%85%E0%A4%A8%E0%A4%82%E0%A4%A4_%E0%A4%AA%E0%A4%88,अनंत पई,"अनंत पई (17 सितम्बर 1929, कार्कल, कर्नाटक — 24 फ़रवरी 2011, मुंबई), जो अंकल पई के नाम से लोकप्रिय थे, भारतीय शिक्षाशास्री और कॉमिक्स, ख़ासकर अमर चित्र कथा श्रृंखला, के रचयिता थे। इंडिया बुक हाउज़ प्रकाशकों के साथ 1967 में शुरू की गई इस कॉमिक्स शृंखला के ज़रिए बच्चों को परंपरागत भारतीय लोक कथाएँ, पौराणिक कहानियाँ और ऐतिहासिक पात्रों की जीवनियाँ बताई गईं। 1980 में टिंकल नामक बच्चों के लिए पत्रिका उन्होंने रंग रेखा फ़ीचर्स, भारत का पहला कॉमिक और कार्टून सिंडिकेट, के नीचे शुरू की। 1998 तक यह सिंडिकेट चला, जिसके वो आख़िर तक निदेशक रहे।
दिल का दौरा पड़ने से 24 फ़रवरी 2011 को शाम के 5 बजे अनंत पई का निधन हो गया।
आज अमर चित्र कथा सालाना लगभग तीस लाख कॉमिक किताबें बेचता है, न सिर्फ़ अंग्रेजी में बल्कि 20 से अधिक भारतीय भाषाओं में। 1967 में अपनी शुरुआत से लेकर आज तक अमर चित्र कथा ने 10 करोड़ से भी ज़्यादा प्रतियाँ बेची हैं। 2007 में अमर चित्र कथा ACK Media द्वारा ख़रीदा गया।
कर्नाटक के कार्कल शहर में जन्मे अनंत के माता पिता का देहांत तभी हो गया था, जब वो महज दो साल के थे। वो 12 साल की उम्र में मुंबई आ गए। मुंबई विश्वविद्यालय से दो डिग्री लेने वाले पई का कॉमिक्स की तरफ़ रुझान शुरू से था लेकिन अमर चित्रकथा की कल्पना तब हुई, जब वो टाइम्स ऑफ इंडिया के कॉमिक डिवीजन से जुड़े।
बीरबल दि क्लैवररानी ऑफ झाँसीझाँसी की रानीटेल्स ऑफ शिवकार्तिकेयगणेशएलीफेंन्टाकृष्ण और शिशुपालह्वेन सांगराम शास्त्रीगुरू नानकनहुषश्रीरामकृष्णचन्द्रहासगुरु तेगबहादुरमाँ दुर्गा की कहानियाँकृष्ण की कहानीश्री रामकृष्णनल-दमयन्तीहनुमानमहर्षि दयानंदगणेशविष्णु की कथाएँस्यमन्तक मणिशिव पार्वतीलव-कुशकार्तिकेयकृष्ण और जरासन्धरुक्मिणी परिणयन्यायप्रिय बीरबलसम्राट अशोकध्रुव और अष्टावक्रमददगार बीरबलसुभाषचन्द्र बोसविद्वान पंडितजातक कथाएँ सियार की कथाएँहरिशचन्द्रसती और शिवबलराम की कथाएँप्रह्लादकुंभकर्णतानसेनसोने की मुहरोंवाली थैलीहितोपदेश मित्रलाभमहावीरसुनहला नेवलागुरु नानकमहावीरआगेगांधारीदुर्गादासआगेजमसेतजी टाटा दि मैन हू सॉ टुमॉरो",,,
1265,List of writers who either speak or write in hindi,https://hi.wikipedia.org/wiki/%E0%A4%A8%E0%A4%B0%E0%A5%87%E0%A4%B6_%E0%A4%AE%E0%A5%87%E0%A4%B9%E0%A4%A4%E0%A4%BE,नरेश मेहता,"ज्ञानपीठ पुरस्कार से सम्मानित हिन्दी के यशस्वी कवि श्री नरेश मेहता उन शीर्षस्थ लेखकों में हैं जो भारतीयता की अपनी गहरी दृष्टि के लिए जाने जाते हैं। नरेश मेहता ने आधुनिक कविता को नयी व्यंजना के साथ नया आयाम दिया। रागात्मकता, संवेदना और उदात्तता उनकी सर्जना के मूल तत्त्व है, जो उन्हें प्रकृति और समूची सृष्टि के प्रति पर्युत्सुक बनाते हैं। आर्ष परम्परा और साहित्य को श्रीनरेश मेहता के काव्य में नयी दृष्टि मिली। साथ ही, प्रचलित साहित्यिक रुझानों से एक तरह की दूरी ने उनकी काव्य-शैली और संरचना को विशिष्टता दी।
श्री नरेश मेहता ने इन्दौर से प्रकाशित चौथा संसार हिन्दी दैनिक का सम्पादन भी कि
नरेश मेहता का जन्म सन् १९२२ ई० में मध्यप्रदेश के मालवा क्षेत्र के शाजापुर कस्बे में हुआ। बनारस विश्वविद्यालय से आपने एम०ए० किया। आपने आल इण्डिया रेडियो इलाहाबाद में कार्यक्रम अधिकारी के रूप में कार्य किया।
नरेश मेहता दूसरा सप्तक के प्रमुख कवि के रूप में प्रसिद्ध हैं। सन् २००० ई० में मेहता जी का निधन हो गया। नरेश मेहता को उनकी साहित्यिक सेवाओं के लिए 1992 में ज्ञानपीठ पुरस्कार से सम्मानित किया गया।
नरेश मेहता की भाषा संस्कृतनिष्ठ खड़ीबोली है। शिल्प और अभिव्यंजना के स्तर पर उसमें ताजगी और नयापन है। उन्होंने सीधे, सरल बिम्बों का प्रयोग भी किया है। मेहता जी की भाषा विषयानुकूल, भावपूर्ण तथा प्रवाहमयी है। उनके काव्य में रूपक, मानवीकरण, उपमा, उत्प्रेक्षा, अनुप्रास आदि अलंकारों का प्रयोग हुआ है। नवीन उपमानो के साथ-साथ परंपरागत और नवीन छंदों का प्रयोग मेहता जी ने किया है।
अरण्या, उत्तर कथा, एक समर्पित महिला, कितना अकेला आकाश
चैत्या, दो एकान्त, धूमकेतुः एक श्रुति, पुरुष, प्रति श्रुति
प्रवाद पर्व, बोलने दो चीड़ को, यह पथ बन्धु था, हम अनिकेतन",,,
