my adobe account gets logged out everytime,Kudos
i really appreciate that dawg,Others
reach out to us again if you have more questions or need additional help,Others
hi how can we help you,Others
as a result im forced to utilise pro tools which is a membership-based programme that i despise both the software and the subscription,General Dissatisfaction
i still haven t received a reply from adobe,Login
adobe xd is experiencing some performance problems,Others
with adobe acrobat app the troubleshooting continues,App Issues
hlo mam i need lil help of yours do you have foundation app invites,Others
having trouble accessing adobe stock i don t have a valid login credential,Login
that is one of the plans i paid for but it is not activated on my adobe account yet,Account
there has been no response to my inquiry,Login
can you please help,Assistance Needed
when will i receive a refund of the month s subscriptions i just paid as i am not using these products and cannot afford the extra 50 euro,Refund
adobe i just downloaded the latest update when i tried to open up the file i was trying to use scanned dollar bills to create collage elements but i could not open the file,File Operation Issues
it could be helpful if you help me in enabling the alerts and notification in the adobe acrobat,Alerts or Notification
i would like to know what reason the photoshop app takes this much storage space,Storage
wonderful work,No Reply
plz tell is it possible for the adobe clouds to be updated,Download or Install
will there be any override if i try and mix 32 bit effects with other effects which are not 32 bit compliant,Usage or Workflow
i am receiving horrible sales support from adobe,File Operation Issues
i want to cancel my subscription to photoshop because i dont really use it,Cancellation
what is the process to use this tool,System Requirement & Infrastructure
the website is still not responding,Usage or Workflow
your website is not loading properly for me,Usage or Workflow
what causes the storage mismatch to occur during adobe installation,Sharing Collaboration
adobe the issue is my phototshop project is not able to share and collabrate,Sharing Collaboration
hey how are you,Greetings
i have found that adobe xd has some performance problems,Others
do i need to reach out to your manager to switch to an educational subscription of adobe animate,Billing Subscription
adobe sucks coz they ask u to go to other forums for assistance,General Dissatisfaction
i need to know will adobe substance 3d stager work in 2010 windows operating system,System Requirement & Infrastructure
adobecare is not at all giving a response,No Reply
please can you help me,Assistance Needed
do you know how i can get all of the files that i deleted back,Data Loss
i am sure that this is not from my end it s a bug from your end so please check your bugtracker,Bug
i want my corrupt illustrator project recovered asap,File Operation Issues
photoshop refuses to open pngs premiere pro refuses to import mp,Feature Request
id often want to know why i cant use photo editing tool box,App Issues
there are billing concerns with adobe illustrator subscriptions,Billing Subscription
what are the adobe system requirements,Sync
i learned that my information was stolen from adobe,Price or Value
it s just year after year of using indesign i don t see the bugs being fixed nor its horribly lacking dictionary being improved,Bug
if you can t solve this today,Others
we will help get this sorted out,Others
adobe why have you changed the save as option for psv files to jpegs,App Issues
there are far too many alerts and notifications in adobe so how can i disable them,Alerts or Notification
what version of photoshop will support my mac 27 inches,Sync
lost the last 2 days of revision history for a file please advise how to recover the data,Data Loss
that s fix the problem,Others
show me why you can t share or collaborate on a photoshop document on adobe,Refund
pretty happy with what they ve been doing for the product,Others
explain exactly why the sync option never works,Storage
the adobe application is not getting updated kindly help,Download or Install
i didnt order anything but i am getting charged,Billing Subscription
premiere and after effects*,Others
please instruct me on how to recover lost data my document has been ruined,Data Loss
when i use adobe after effects for the first time i get error 5719 what does this mean and what should i do next,App Start Up
it is possible to use photoshop in a quick and easy way by using the software called photoshop,Positive Brand Engagement
issue in sync feature is not working,Storage
even after reinstalling them adobe indesign saves files as adobe illustrator and files cant open without complications,File Operation Issues
please confirm that the sync option is working in adobe,Storage
i pay so much for adobe products that this is unacceptable,General Dissatisfaction
it took me three tries to login with my home business s name,Login
will photoshop function on a 2010 windows operating system,Sync
i am having issues while logging in to adobe fresco,Kudos
hello there how can i create a new document and start my work in photoshop,Getting Started
i need your guidance,App Start Up
can you advise me if acrobat premium dc will operate on the windows operating system,System Requirement & Infrastructure
can you guys help me out,Assistance Needed
why is the sync feature not working for me,Storage
i love this,No Reply
the adobe photoshop app does not start,App Start Up
312 543 5200,Website Issues
in my ignorance i did not realize that adobe xd is a very expensive product,Price or Value
hello marry good eveing,Greetings
i paid for the service but it is still not active on my adobe account,Account
i was able to log in on a regular browser cause it sent the 6 digit code to my phone number but the launcher still only sends it to my email,Login
i dont want to continue with the monthly subscription can you please cancel it and make the refund,Cancellation
i would think that this time when the system crashes it is very bad for the photoshop app,App Issues
is there a place where i can compare the price of the adobe xd,Cost Queries
its a mutual collaboration,Others
adobe is an awesome place to work,Performance
please assist me in determining the products retail price,Cost Queries
why adobe is not intrested in resolving my complaint,No Reply
is my website registering with anybody out there,Usage or Workflow
i recently bought acrobat pro dc for macos how can i begin using it,General Dissatisfaction
i am wondering as to why your sync capability is never functional,Sync
adobe is your website not working looking to buy upgrade version of photoshop cs6 but can t check out,Website Issues
how can i find out how much this product costs in stores,Cost Queries
adobes creative cloud is very expensive i have never seen it cost more than $3000 to get this software,Price or Value
i need to convert a pdf to png rapidly but im unable to obtain an adobe login,Login
fantastic website adobe great blogs and info,Performance
why doesn t adobe allow work sharing and collaboration,Refund
illustrator always seems to be behind file corruption,File Operation Issues
may i know is my data saved securely in adobe,Price or Value
how do we get started with acrobat pro dc for macos,General Dissatisfaction
this behavior by adobe was not what i expected,File Operation Issues
will acrobat standard dc operate on the windows 10 operating system,System Requirement & Infrastructure
adobe illustrator 2022 has a number of performance issues,Others
for me refund is delayed,Privacy Data or Trust & Safety
my transition into uiux was easy and flexible as i was already grounded with the knowledge of design,Others
the adobe application has been upgraded and the first page opens slowly,App Start Up
please tell me adobe why my phototshop project is not able to share and collabrate,Sharing Collaboration
does adobe substance 3d stager work with windows,Sync
adobe i keep getting the cordova plugin error while using,App Issues
how can you use this video motion feature,System Requirement & Infrastructure
can you explain why i am unable to share or participate in the photoshop creation process,Sharing Collaboration
when can i start up the adobe acrobat,App Start Up
so i requested that adobe xd should bring back the video motion feature that was very useful,Download or Install
i spent a week working on that project and now it is corrupted highly disappointed in adobe,File Operation Issues
just incredible anneli,Others
reloading them hasn t worked,Others
when i searched the adobe site for the term accessibility nothing regarding the ada came up,Website Issues
i am a student using my school s license and therefore am wasting a subscription with adobe now as i can t even use it,Billing Subscription
it says plug in is running in another window and then all my work is lost unsaved,App Issues
i can get to the start menus but loading a save file crashes the game,File Operation Issues
hi dj thank you so much i have informed the billing team so they can follow up with the refund thanks,Others
idk why i love this sort of art,Others
when will i get a refund for this plan,Privacy Data or Trust & Safety
the acrobat dc that s install opens acrobat reader dc but i am not seeing a place to download it in the creative cloud desktop app,Download or Install
signing up for the pro version and losing so much time of the subscription is galling but i am sure engineers or devs know what this issue is since i was able to see my recipes in a library,Others
can you please just pause my subscription until july 2022,Billing Subscription
when i click the log in button things time out and it i showing this site can t be reached msg,Login
so it appears that the adobe application doesnt start,App Start Up
all cars are ev or a bug-free version of premiere,Others
it says i have to update before light room will be sync do i not long updated,Download or Install
so far i have not received a reply to my question so far no one from adobe has replied,No Reply
in my adobe account the plans i purchased are listed but i have not yet activated those plans on my adobe account,Account
lr taking 30 seconds to close in my task manager after i close the app,Performance
where is the adobe stocks features,App Issues
i cant change my password on the login screen of adobe,Login
what is the reason adobe xd is so expensive,Positive Brand Engagement
kindly elaborate why the adobe synchronization option isnt functional,Sync
i have lost data and have no idea how to get it back,Data Loss
_x1f63b__x1f525_,Website Issues
because adobes entire website is down the issue isnt working,Usage or Workflow
adobe sync feature never works when you need it to do,Storage
when i open my audition on my mac i get msg that internet is not connected but i have the connecton,App Start Up
so the adobe application will not start,App Start Up
anyone else s ipad app keeps on crashing upon loading,App Start Up
i dislike these apps it makes people who don t have an idea about what it means to create an edit that it is simple,General Dissatisfaction
can i know will windows 7 support photoshop express,Sync
may i know the reason for inability to share and collaborate my photoshop project,Sharing Collaboration
i m unable to cancel subscription,Cancellation
can i disable the notification in the adobe app,Alerts or Notification
when will yall remove the device limit already im tired of having to always log out one of my computers just to get in,Login
and will i be able to re-sign up with aladdin if i already have an account registered with that address,Login
north american nft-fishing is now on mint from,Others
customer serivce is errible,File Operation Issues
very impressed with the customer service,Kudos
is it not possible to get a refund and cancel this month,Privacy Data or Trust & Safety
when can i expect a response from you,Login
what fantastic customer service,Greetings
and now i want to cancel and can t go in to cancel,Cancellation
if we cancel this now there is an early termination fee,Cancellation
is it possible for you solve the bug in adobe fonts,Bug
app start up takes more time,App Issues
been immensely supportive customer care service,Kudos
i need to get adobe software but it s so expensive,Positive Brand Engagement
let me know will 2010 windows operating system will adobe substance 3d stager work,System Requirement & Infrastructure
i still do not get any reply from adobe,Login
now my photoshop refuses to open the files i saved on the cloud,Feature Request
i feel that at the moment i am still a beginner when it comes to using brushes so pls assist i in using brushes,Usage or Workflow
the problem is that i am unable to log into my photoshop account,Login
i am getting error with billing for my acrobat pro subscription,Billing Subscription
lr works fine for first 5 or 10 minutes and then just freezes and stops responding,Performance
i cannot afford these fees or continue paying for a subscription other than the one i need for my work,Billing Subscription
are there any after effects experts out there who can give me some beginner tips,Getting Started
which adobe product should i go for in case i want a motion graphic similar to this https youtu be frbfjn6ozcu,Usage or Workflow
its been 6 days ur helpline is sry all r busy email no response,No Reply
some of the notifications and alerts that adobe is sending to me in the app are very annoying so i am wondering how i can disable them,Alerts or Notification
help me get a refund for an adobe stock trial subscription that was cancelled weeks ago,Refund
it seems that adobe is crashing while it is being updated,Download or Install
hope this will help,Others
i haven t been able to access for over an hour server is choking,Login
adobes user interface is atrocious,App Issues
hlo adobeservice team,Greetings
i havent get any response from adobe,Login
adobe a fantastic company with absolutely 0 flaws in their programs,Positive Brand Engagement
so for me i have been unable to finish my photoshop project with my friend,Refund
just contacting you re fonts not working in indesign,App Issues
i am having trouble downloading a free trial of adobe photoshop can you help me,Download or Install
i don t need help with this anymore but it was frustrating this morning,Others
while upgrading to a new version my printed files would not open,Feature Request
i wanna create a shortcut in settings to enable scrolling when i open any pdf so how do i do it,Usage or Workflow
veronicaatkinson721,Website Issues
dear adobe i always have issues when opening the app for the first time,App Start Up
is there a way for me to get my money back for this subscription with adobe,Refund
is it really true that adobe xd is so expensive,Positive Brand Engagement
what do users need to know to make relevant decisions,Others
i have experienced difficulties with adobe illustrator because they do not work,App Issues
having issues with photoshop lately lots of tools are crashing my program,App Issues
what are the rules and regulations that i must obey in order to protect the privacy of the data that i have stored in adobe,Price or Value
i am not able to update my app since this thursday,Download or Install
i sincerely apologize for the mistake,Others
there is a car crash in my cirty,Others
id like to know if the information i supply to adobe is kept private,Price or Value
this is so beautiful i really love it it s very deep and meaningful very nice work,Others
adobe photoshop could be improved by adding more editing functions so please add these features to it,Feature Request
it also has a larger range of adobe storage than the 1 tb package that i bought,Storage
the ac changes you did over the weekend caused a lot of trouble to it support groups everywhere,General Dissatisfaction
some actions in adobe applications are experiencing issues related to performance,Others
is it possible to get an answer from the billing department im still waiting for my acrobat reader membership to arrive,Billing Subscription
is it possible for you to include this functionality in your product,Download or Install
can you tell me why your photoshop app keeps getting freezes,App Issues
is there anyway for me to get a refund for this plan,Privacy Data or Trust & Safety
i am unable to fix the bug in photoshop,Bug
this product will have a retail price of,Cost Queries
where can i find the terms and conditions on how adobe handles my personal data,Price or Value
which version are you on,Website Issues
some actions in adobe applications are experiencing performance issues,Others
i correctly understand you sorry english not my native you activate my account now for 3 month i don t pay now and than on 4th month i pay for all 4 month $9 99x4,Account
what are the minimum system requirements for running acrobat pro dc,System Requirement & Infrastructure
kindly assist me with updating the adobe photoshop lightroom app,Download or Install
i am still waiting for adobe to answer my query,Login
hard to find tp support if i cant get past this login page,Login
i want to cancel this now without charge,Cancellation
i m disappointed to hear this by the customer care executive,General Dissatisfaction
often is unable to open a pdf throwing the error,Feature Request
i have restarted photoshop six times now only to paste stuff from illustrator into a new file,File Operation Issues
is it possible to add illustrator to adobe xd,Download or Install
want to know why does your synchronisation tool never work,Sync
hi besties,Getting Started
why am i not able to disable the alerts and notifications in the adobe spark,Alerts or Notification
in photoshop how the sync feature is never used,Storage
i do not want to pay $100 to cancel for it to not work,Cancellation
what is the best way to use this tool,System Requirement & Infrastructure
if you had an e-mail address i could forward the entire response,Others
i am crashing on sugar,Others
apparently there is a bug in the latest adobe program update that is causing my files to become corrupted,Bug
i can t share or contribute on the photoshop project i m working on,Refund
imagine paying for software every month and then dealing with time-consuming and money-costing issues,General Dissatisfaction
adobe photoshop is my favourite application and i wish i had more time to devote to it,Positive Brand Engagement
i cant login in my account when i try to change my password i got an erro reply,Login
when can i expect you to respond,Login
hlo good eveing,Greetings
it s bad for adobeto double the price overnight,Positive Brand Engagement
please can you please explain to me why the brush tool isnt working for me,App Issues
i cancelled this plan a long time ago but it payment for the plan started again without my knowledge and increased debt on my credit card but when i go to cancel it again i m told i need to pay £99,Cancellation
i can also refund the charge from march 30th,Others
adobe does not allow for project sharing and collaboration,Refund
hellow ram,Getting Started
so now i just cannot open any of my print files after i have installed my software,File Operation Issues
how should i use this brush tool,System Requirement & Infrastructure
why i am getting this error when trying to download,Download or Install
an app called photoshop keeps crashing,App Issues
adobe apps take too long to open crash after opening,App Start Up
i am still waiting for adobe to reply to my query,Login
when i try to access the adobe website using google chrome it doesnt open,Website Issues
on macbook m1,Website Issues
it seems that i am still learning to use brushes,System Requirement & Infrastructure
is this going to be refunded directly to her cc,Privacy Data or Trust & Safety
hello…the link did not help,Usage or Workflow
my projects in photoshop is not possible to share and collaborate on,Refund
je ne peux malheureusement pas payer de frais de résiliation,Cancellation
facing some issues when indesign is trying to sync a font from adobe fonts since it stuck in the background tasks,Sync
same thing happens here used it 30 minutes ago no problem walked home tried again then it started to crash,App Issues
can i know will 2010 windows operating system will acrobat standard dc work,System Requirement & Infrastructure
not able to login to creative cloud account for the last five hours,Login
when can you get back to me,Login
adobe i m having trouble opening your website,Usage or Workflow
can you refund my bank account,Privacy Data or Trust & Safety
hi there sorry about that,Others
please can you please explain to me why adobe toolbox is not working for me,App Issues
bonjour service,Greetings
is this software was available for the mac and compatible for premiere pro cc2017…,System Requirement & Infrastructure
as always best customer service,Greetings
having issues with tools in photoshop cs3 not working,App Issues
can you watch the stream if you log in to adobe connect im having trouble logging in to this adobe site,Login
but the one thing mc did better then anything,Others
i suspect they re trying to call and email the wrong contact information,Others
i shouldnt have to pay any cancellation fees to cancel something,Cancellation
do you know how i can recover the files that i deleted,Data Loss
bam _x1f4a5_,Website Issues
how can i make sure that the designer i chose is being used,System Requirement & Infrastructure
there is a bug in the adobe program update that causes my files to become corrupted,Bug
help me fix this bug in the adobe acrobat application,Bug
when you install adobe it tells you that there is a mismatch in the storage,Sharing Collaboration
how can i recover all my lost data,Cost Queries
let us know if you have more questions,Others
how do i log into my photoshop account,Kudos
adobeid design01,Website Issues
can you add illustrator to adobe xd,Download or Install
adobe cloud is very easy and simple to use,Performance
also the customer service at agent side even mentioned he wasn t sure if they could help with this small amount i was asking 5 credits originally which made me highly disappointed,General Dissatisfaction
that is the problem,Others
they came up with this horrible idea of charging cancellation fees to keep people subscribed to their products,Cancellation
i think the reason why the photoshop app crashes is very bad,App Issues
can you please explain to me why adobe toolbox is not working for me,App Issues
on the abode fonts i am unable to enable notifications,Alerts or Notification
why is all my adobe storage complete,Sharing Collaboration
it is not possible to collaborate and share my photoshop project,Refund
please inform me that all my personal data is secured by adobe,Price or Value
there is an active creative cloud all app plan and a premiere pro plan associated with it,Billing Subscription
why am i not receiving a notification every time there is a change in the work that i am doing in photoshop,Alerts or Notification
