pretty awesome customer service there,Kudos
my i know why the photoshop app keeps troubleshooting,App Issues
adobe tell me the point of a sync feature that never works,Sync
hey adobe your sync feature never works,Storage
crashes whenever i try to open a file but i can t get any error data out of it,File Operation Issues
what are the hardware specs for using acrobat pro dc in the end,Sync
a file cannot be opened in adobe community cs6,Feature Request
i can t find the apps that i wanted or should i install the cc apps with 2021 version first,System Requirement & Infrastructure
i would want to know how much this item costs,Cost Queries
kindly update your website because it does not open,Usage or Workflow
i have a problem with the photoshop app the app is constantly freezing,App Issues
is it possible for the adobe xd to be updated,Data Loss
so why do i not get notified when i change my project work in photoshop,Alerts or Notification
when can i get a copy of adobe flash or a nice pdf reading file that i can highlight,Usage or Workflow
when it comes to adobe sharing and collaboration the options for me are not working,Sharing Collaboration
when i read all the messages and alerts that adobe sends to me via the app there is one that i find very annoying i do not know how i can stop this,Alerts or Notification
it would help me if you correct the bug,Bug
please fix this,Usage or Workflow
not responding you cannot open a file,Feature Request
how can i add a transition between scenes,System Requirement & Infrastructure
i dont like these pop ups,Alerts or Notification
can you please tell me why adobe tool box is not working for me,App Issues
for the first time in adobe photoshop i am seeing issue 5719 what is it and how can i get rid of it,App Issues
app is crashing everytime i opens it after updating it to the latest version i am frustrated is there a solution to it,App Start Up
can you please assist me to download the adobe stock,Download or Install
adobe cloud is very simple to use and it is also easy to learn and to use,Positive Brand Engagement
what happens when you work with adobe xd,System Requirement & Infrastructure
i can t access premiere pro when i paid for my yearly subscription on march 23 2022,Assistance Needed
why have you changed the saving as option for psd files to jpegs,App Issues
what happens to your work flow when you use adobe xd,System Requirement & Infrastructure
main problem is my phototshop project is not able to share and collabrate,Refund
adobe cloud is a very entertaining tool for users to play with,Performance
*,No Reply
hi i can t cancel my free trail what should i do,Cancellation
my main concern our website is always slow to load and contains more problems than a sewer,Website Issues
there is no way for me to get adobe audition because its expensive,Price or Value
i wish you success _x1f62d_,Others
amazing product fabulous customer service,Kudos
i got one response from adobe 2 days ago that didn t mention any solution,General Dissatisfaction
the adobe application has issues while opening and loading,App Start Up
is your adobe website broken i would like to update to photoshop cs6 but am unable to do so,Website Issues
the website keeps telling me that im outside my region but im not there is some problem with it whenever i redirect it takes me to the main support page,Website Issues
explain please to me adobe why i have been unable to share and collaborate on my photoshop works,Sharing Collaboration
may i know why sharing and collaboration of projects is not happening adobe,Sharing Collaboration
i like to buy a program for a flat fee i wanna use that program forever like i did with magix vegas 14 bought it once no monthly costs still works perfectly like when i bought it like 5 years ago,Others
help i cant download adobe flash player when its done downloading it comes up an error message,Download or Install
because i did not approve this reactivation of this account,Account
oh i love this,No Reply
may i know why am unable to use the locate files feature like premiere pro,App Issues
as soon as it happens again i ll make the video thanks,Others
love adobe spark,Performance
hey and here s a two finger salute for your genius money grabbing cancellation fee tactics_x1f595__x1f595_,Cancellation
where can i acquire a little piece of photoshop and illustrator please,Others
i had to wait until the 15th march in order to purchase a new subscription on the correct account,Others
hello how come i cannot cancel my account,Cancellation
while trying to update billing i am getting an error,Billing Subscription
you are basically preying on forgetful people to not cancel and thus he stuck with another year of payment unless they pay a hefty fee ofcourse,Others
how can i send the message,Others
2022 software updates have completely broken the dynamic link,Download or Install
i have restarted photoshop 8 times just so that i can create a new file and paste something from illustrator into it,File Operation Issues
i would like you to know that i am looking for adobe indesign,Usage or Workflow
adobe indesign saves files as adobe illustrator and files cant open without complications even after reinstalling them,File Operation Issues
what are the steps to be followed in order to change the plan for adobe document cloud,Billing Subscription
the photoshop app keeps on freeze,App Issues
my work in the project had lost some data please help to recover it,Data Loss
now the creative cloud desktop app keeps crashing please help,App Issues
adobe photoshop could be improved by adding more editing functions so please add that feature,Feature Request
how hard is to start a new project,Others
i can log in through other methods like google but my purchases are linked to my adobe account so i need to log in that way to install the apps,Login
_x1f440_,Website Issues
if you all would provide me with a subscription version i might be able to do more,Billing Subscription
please try repairing the application installation,App Start Up
how can i get the files that were deleted,Cost Queries
loved the product thank you adobe,Performance
your software though wow,Performance
will photoshop run on my 2010 windows operating system,Sync
can i know the price of this product,Cancellation
so downloading the free trial of adobe photoshop is a problem can you help me,Download or Install
i cant login access creative cloud or photoshop ex or lightroom from various browsers due to dnx probe error,Login
_x1f972__x1f5a4_,Website Issues
how can we recover the files that have been deleted if you think that you might be able to restore those files please give me some hint,Data Loss
how to recoever corrupted lightroom project,File Operation Issues
so when i first started using photoshop i was unable to change anything in the object library,App Start Up
the refund was not working for adobe subscription,Privacy Data or Trust & Safety
this app just taking space on after installing,Sharing Collaboration
my project file got corrupted i request you please help me suggest me how can i recover my data please help me,File Operation Issues
id like to know why adobes photoshop product cant be shared or collaborated on,Sharing Collaboration
my illustrator project hanged now not opening its corrupted,File Operation Issues
so i ask that you bring back the motion of video in adobe xd this is an important feature and it is very useful,Feature Request
let us know if you have any questions,Others
please let us know if you know of a new source where we can get adobe photoshop,Usage or Workflow
i need assistance with my adobe id since i am unable to connect to my adobe story account and reset my password,Login
what can i do to change to the educational subscription since i am a student,Billing Subscription
i just wanted to let you know that ive been trying to sign up for your annual photography plan for the past four days but your website isnt working when i enter all of my credit card information,Website Issues
the adobe xd does not launch,App Issues
my app just keeps randomly crashing during edits for no reason,App Issues
hlo good morning,Greetings
451015 64113,Website Issues
love your workkkkkk boiiiii,Others
such a neat little quiz from adobe,Others
the care team had scheduled a meeting with me but never contacted me,No Reply
i tried to email them but since it s a holiday week it ll be hard to reach them,No Reply
please tell me the features of adobe stock,App Issues
guys i can t login to creative cloud or the adobe site,Login
i get lots of spam calls please tell me the number,Others
there is trouble in sync feature that never works,Storage
after the pending payment i paid the full amount to adobe but now my adobe account is not activated,Account
live on my channel,Others
want to know why did my adobe account get deactivated,Account
can any one help me to know the use of this brush tool,System Requirement & Infrastructure
where is photoshop presets available to purchase,Usage or Workflow
what is the best way to activate my account,Account
with this app startup takes more than 15 mins,App Start Up
i cant log in to my adobe account neither by desktop app nor a browser,Login
idk what the issue is,Others
when i made changes in adobe photoshop why i am not being notified,Alerts or Notification
i was opening adobe app for the first time but its having some issue,App Start Up
every time i try to open the software it is only happening with illustrator the entire program continues giving me the message that i must purchase a plan which when i try to click on any part of prompts the software to give me an error message and then close completely,App Start Up
email aakaristdesign gmail comissue need refund,Privacy Data or Trust & Safety
hello adobe im facing issues whenever i open the app for the first time,App Start Up
you are able to use this adobe photoshop program easily,Performance
hi can you plz help me to know when i tried to enable notifications in the adobe app i was unable to do that,Alerts or Notification
i still dont get any response from adobe,Login
same problem here,Others
i send card details yesterday,Others
nope that s all,Others
someone tell me this thing cost,Cancellation
is adobe premiere rush suitable with windows 10,Sync
the photoshop sync capability was the biggest farce it never worked as expected,Sync
is there any way for me to receive a refund for this subscription with adobe,Refund
as far as i know i paid for the plan but i have not activated that plan yet on my adobe account,Account
please tell me cost of this item,Cancellation
i am still waiting for some responses to my question but no one from adobe has responded,No Reply
happy sunday karan,Greetings
brush tool is experiencing some problems,App Issues
i have answered that question for adobe multiple times over the past several weeks,Others
my id is tamieyacoffey,Website Issues
i despise both the programme and the membership since im compelled to utilise pro tools which is a subscription-based product,General Dissatisfaction
did you change the premier export user interface,App Issues
i wanted to know if you can help me in figuring out this issue,Assistance Needed
it s this website that won t work and i ve tried various browsers,Usage or Workflow
you can cc to geoff should it fail,Others
why am i getting a charging problem for my new adobe substance 3d stager subscription,Billing Subscription
i dont trust this git extension just to recover 1 corrupted lightroom project,File Operation Issues
the project on photoshop is not open its corrupt it says,File Operation Issues
how dare you objectify me,Others
god i hate when software does things like that,Others
this system does not support conversion of files with adobe,Sync
i am opening photoshop for the first time how can i create a file,General Dissatisfaction
