will adobe scan be supported by windows 7,Sync
best service,Greetings
the employee who had the account has left us which is why i can not log in to you and delete the account we have also blocked the credit card that is linked to the account,Login
photoshop is the app that takes longest time to launch,App Start Up
merci pour votre réponse dommage je pensais qu on pouvait continuer à utiliser cette app,Others
when i open a file the latest version of that file always fails,Feature Request
it seems that the adobe application doesnt start,App Start Up
i understand why i dont get the refund of january although i only used it in the trial period,Others
hi guys,Getting Started
it is happening that the adobe software is currently crashing while it is updating,Download or Install
there is a bug where the keyboard is not coming on screen for the sign in details of acrobat,Bug
awesomecustomerservice,Greetings
it is unbelievable how they doubled the price,Price or Value
what an amazing customer service,Greetings
this link doesn t work,Usage or Workflow
can please fix your website payments page which never loads,Usage or Workflow
i am thinking that something is wrong when i download adobe acrobat pro,Download or Install
once i apply colour reference it causes problems to my brush tools,App Issues
some actions that you can take in adobe applications that are experiencing performance issues,Others
why is your sync function not working,Storage
i want to know if the trial offer of which i took advantage can be cancelled now as i didnt cancel it on time and also didnt receive any email from you guys until today can i not cancel it for a full year,Cancellation
when i start this adobe application it does not start,App Start Up
just making sure i understand correctly before pulling the plug,Others
i need to know will windows 7 support photoshop express,Sync
mostly acrobat pro ps indesign and not as often ai were used,Others
may i knoe how i can stop my collobration for a photoshop project,Refund
is that the orbs by bt,Website Issues
i have written up a query for adobe regarding one of their pieces of software,Others
can anyone help with using cs6,System Requirement & Infrastructure
why adobe is too expensive,Positive Brand Engagement
it randomly logs me out and forces me to log in again,Login
customer care service treats us like we are stupid,General Dissatisfaction
how long will i able continue to use this new adobe feature,System Requirement & Infrastructure
please let us know what the requirements for dream weavers are,Sync
beware of fraud by adobe,File Operation Issues
amazing space,No Reply
will adobe substance 3d stager function in windows 10,Sync
hey so i don t really need help because your web site is a true pile of human shit,Website Issues
help me why am not able to share and collaborate on this photoshop project,Refund
excellent work by customer care service,Kudos
please tell me why i m about to share and collaborate on my photoshop work adobe,Sharing Collaboration
zau _x1fa90_,Website Issues
hi is there anyone to talk,Assistance Needed
if youre having trouble downloading premiere pro please contact us error code 201 keeps appearing,Download or Install
may i know the use of this brush tool,System Requirement & Infrastructure
your support and kind words means a lot to me,Others
only a few of the links on your adobe support website work,Usage or Workflow
adobe application has issues when opening and loading,App Start Up
nothing happens when i click on the folder to install adobe audition onto my mac,Download or Install
adobe why you changed the save as option for saving psd files to jpegs,App Issues
i just installed adobe acorbat 2020 standard and when trying to sign in,Login
when i try to download i get an error notice,Download or Install
absolutely messed up you force a cancellation fee when you ask for a reason why the customer is leaving,Cancellation
i never used your product,Website Issues
i m curious as to why adobe s photoshop work isn t open to collaboration or sharing,Sharing Collaboration
i would like to know where to find the creat file option in photoshop,File Operation Issues
your assistance would be very helpful,Assistance Needed
does anyone know how to convert an adobe portfolio of combined files to a regular pdf that could be emailed,Usage or Workflow
full set of data corrupted by adode animate,File Operation Issues
how do we get started with acrobat pro dc for macos that we recently purchased,Getting Started
what are the specifications of your system regarding the ram and the cpu of adobe,System Requirement & Infrastructure
my adobe stock login credentials aren t working,Kudos
the adobe application is having problems opening and loading,App Start Up
i am being informed that theres no restore point for my 500gb data that was deleted by creative cloud,Data Loss
james is very talented,Others
can i create a new personnal account and save my photos and parameters in lightroom extracting from this old account is it possible,Usage or Workflow
hi there i am unable to log into my account,Kudos
photoshop is the most reliable and best tool for photo editing,Performance
do you know why the brush tool has not been working for me,App Issues
do you know of a way that i can get a refund for this subscription with adobe,Refund
adobe any reason why your website never loads anymore,Usage or Workflow
i have still not received an answer to my question and no one from adobe has replied to my question,No Reply
inspite of being connected to the net i get message that i am not connected when i try starting audition on my mac,App Start Up
i am unable to use adobe s sync feature despite my desire to do so,Sync
several of the actions in adobe applications are having performance problems,Others
what if i haven t installed anything since i get a warning that the apps is not compatible with my windows it means that i cant install them first,System Requirement & Infrastructure
and cancel after a month,Website Issues
i am not able to finish my photoshop project with my friend,Refund
when i first started to use photoshop i was unable to change any of the objects that i had in my object library,App Start Up
it took me eight restarts only to create a new file and paste items from illustrator,File Operation Issues
inspite of not subscribing to this annual plan i am being asked to pay cancellation fees,Cancellation
honestly fuck adobe nothing ever works correctly app keeps crashing,App Issues
i am still waiting for an answer from adobe on my query,No Reply
why are you not offering any decent packages for your products,Price or Value
how can i enable my photoshop account,Account
i am unable to disable the alerts and notifications for photoshop,Alerts or Notification
very proud,No Reply
now adobe asks me to go through agent roughly half-day time and it costs me 1 900 ntd now,Others
you guys have amazing customer service,Kudos
my primary problem is that i am unable to share or collaborate on my photoshop work,Sharing Collaboration
hi i am thinking there is a problem when i download adobe acrobat pro,Download or Install
but my subscription stopped on 10 april,Billing Subscription
can i get some store credit or something for the difference,Privacy Data or Trust & Safety
we just noticed in his bank account activity that he was charged with his annual membership on 30 march,Billing Subscription
i am getting a refund that is delayed plz tell me why,Privacy Data or Trust & Safety
do they have any idea how expensive the adobe suite is,Positive Brand Engagement
how do i open images in low res mode like previous photoshop versions,Usage or Workflow
where can i download photoshop,Download or Install
someone please help me to download the adobe audition,Download or Install
adobe you haven t fixed a problem i have reported a few times before verify your email you have the wrong email etc etc,General Dissatisfaction
i want to know how to use this brush tool,System Requirement & Infrastructure
this price is too high adobe,Positive Brand Engagement
i want to know why sharing and collaboration of projects is not happening adobe,Sharing Collaboration
ive lost some data from my well saved work how can i get it back,Data Loss
it seems that the adobe application is crashing while it is updating,Download or Install
i ve been told to pm you regarding issues i ve having and i email saying you re cancelling my prepaid subscription,Cancellation
the photoshop application keeps crashing when it is opened and while it is trying to start,App Start Up
photoshop experiencing some performance problems,Others
thanks for the awesome customer service,Kudos
that would be awesome if it would be but currently adobe after effects is only available on desktop and laptop computers,Others
i believe that the photoshop app has suffered a lot due to the crash,App Issues
i cant play braw files bcoz of the vga bug,Bug
i would like to get my plan cancelled without the 81 pounds charge,Cancellation
may i know will 2010 windows operating system will acrobat standard dc work,System Requirement & Infrastructure
the price of adobes creative cloud is very expensive never before have i seen it cost more than $3000 to get this software,Price or Value
are you using any other adobe application,Others
photoshop will not open photos of $100 bills as i recently discovered,App Issues
hello my email is lydiakrajnakova i have tried free trial of adobe premiere pro but the app wasnt what i was looking for so i cancelled the free trial after a few days i was very surprised that i was charged anyway,Cancellation
i still am waiting for adobe to reply to my quiry,Login
adobe cc is definitely more expensive than i remembered it to be,Price or Value
